"filename", "language", "Java", "XML", "HTML", "Java Properties", "JavaScript", "CSS", "SQL", "Log", "Markdown", "comment", "blank", "total"
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\util\VerifyToken.java", "Java", 37, 0, 0, 0, 0, 0, 0, 0, 0, 35, 11, 83
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion\implementacion\ClienteSWFirmaDigital.java", "Java", 135, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 160
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion\implementacion\ClienteSWMinisterio.java", "Java", 1431, 0, 0, 0, 0, 0, 0, 0, 0, 224, 197, 1852
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion\implementacion\ClienteSWPup.java", "Java", 435, 0, 0, 0, 0, 0, 0, 0, 0, 57, 74, 566
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion\implementacion\ClienteSWSirep.java", "Java", 286, 0, 0, 0, 0, 0, 0, 0, 0, 43, 36, 365
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion\implementacion\ClienteSWToken.java", "Java", 78, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 99
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion\interfaces\IClienteSWFirmaDigital.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion\interfaces\IClienteSWMinisterio.java", "Java", 13, 0, 0, 0, 0, 0, 0, 0, 0, 25, 8, 46
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion\interfaces\IClienteSWPup.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 32
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion\interfaces\IClienteSWSirep.java", "Java", 14, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 41
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\webservice\integracion\interfaces\IClienteSWToken.java", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 18
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\enumeraciones\Aplicacion.java", "Java", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\enumeraciones\Autenticacion.java", "Java", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\enumeraciones\FuncionAgrupamientoJPQL.java", "Java", 4, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 12
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\enumeraciones\TipoFiltro.java", "Java", 24, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 47
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\enumeraciones\TipoOperador.java", "Java", 23, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 42
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\enumeraciones\TipoOrdenamiento.java", "Java", 23, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 43
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\enumeraciones\TipoQuery.java", "Java", 4, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 12
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\manejadores\ManejadorAcuse.java", "Java", 41, 0, 0, 0, 0, 0, 0, 0, 0, 22, 21, 84
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\manejadores\ManejadorAdjunto.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 40
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\integracion\manejadores\ManejadorAgendaPersona.java", "Java", 176, 0, 0, 0, 0, 0, 0, 0, 0, 68, 38, 282
